ID;City;Place names;Place2 names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
41;Mosul;Hill of AL-ramah;Êá ÇáÑãÇÍ;36.39236;43.124106;;1;;;1;1;;;;1
42;Mosul;Wall of Mosul;ÓæÑ ÇáãæÕá;36.372425;43.133596;;1;;;;;;;;
43;Mosul;Castle of Bashtabia;ŞáÚÉ ÈÔØÇÈíÇ;36.355574;43.121599;;1;;;1;;;;;1
44;Mosul;Church of Saint Thomas;ßäíÓÉ ãÇÑ ÊæãÇ;36.341281;43.125292;;1;;;;1;;;;
45;Mosul;Monastery of Saint Corcis;ÏíÑ ãÇÑ ßæÑßíÓ;36.409719;43.11988;;1;;;;1;;;;
46;Mosul;Mosque of Nouri;ÌÇãÚ ÇáäæÑí;36.343164;43.126917;;1;;;;1;;;;
47;Mosul;Great Mosque;ÇáÌÇãÚ ÇáßÈíÑ;36.357639;43.141742;;1;;;;1;;;;
48;Mosul;amawy-mosque;ÇáÌÇãÚ ÇáÃãæí;36.346543;43.132383;;1;;;;1;;;;
49;Mosul;Mosque of Egwat;ÌÇãÚ ÇáÃÛæÇÊ;36.344893;43.136744;;1;;;;1;;;;
50;Mosul;Mosque of the Prophet  Georgsmoschee;ÌÇãÚ ÇáäÈí ÌÑÌíÓ;36.344592;43.130459;;1;;;;1;;;;
51;Mosul;Al Najafi Street;ÔÇÑÚ ÇáäÌİí;36.342602;43.133153;;1;;;;;;1;1;
52;Mosul;Hamam al-Alil;ÍãÇã ÇáÚáíá;36.158167;43.25326;;1;1;1;;;;;;1
53;Mosul;Mosul Museum;ãÊÍİ ÇáãæÕá;36.337863;43.139408;;1;;;;;;;;
54;Mosul;University of Mosul Stadium;ãáÚÈ ÌÇãÚÉ ÇáãæÕá;36.379555;43.139717;;;;;;;1;;;
55;Mosul;New Gate Park;ãÊäÒå ÈÇÈ ÇáÌÏíÏ;36.333754;43.127341;;;;;1;;1;;;1
56;Mosul;The forests of Mosul;ÛÇÈÇÊ ÇáãæÕá;36.378563;43.12003;1;;1;;1;;1;;;1
57;Dohuk;Al-Amadiyah Castle;ŞáÚÉ ÇáÚãÇÏíÉ;37.09085417;43.48397982;;1;1;;1;;;;;1
58;Dohuk;The Abbasid Bridge;ÇáÌÓÑ ÇáÚÈÇÓí;37.090582;43.483951;;1;;;1;;;;;1
59;Dohuk;Great Duhok Mosque.;ÌÇãÚ Ïåæß ÇáßÈíÑ.;36.85778;42.999204;;1;;;;1;;;;
60;Dohuk;The Great Mosque in Aqra;ÇáÌÇãÚ ÇáßÈíÑ İí ÚŞÑÉ;36.861742;42.997208;;1;;;;1;;;;
61;Dohuk;Resort of Zawita;ãÕíİ ÒÇæíÊå;36.90466;43.135918;1;1;1;;1;;;;;1
62;Dohuk;Shranche waterfall;ÔáÇá ÔÑÇäÔ;37.232618;42.846165;1;;1;;1;;;;;1
63;Dohuk;Resort  of Sarsink;ÓÑÓäß;37.04633;43.338697;1;;1;;1;;;;;1
64;Dohuk;Resort of Ashawa;ÇÔÇæÉ;37.022839;43.29227;1;;1;;1;;;;;1
65;Dohuk;Resort of Solav;ÓæáÇİ;36.861459;42.996873;1;;1;;1;;;;;1
66;Dohuk;Prazani Park;ãÊäÒå ÈÑÇÒÇäí;36.84568;43.004286;;;;;1;;1;;;1
67;Dohuk;Park Azadi;ÈÇÑß ÇÒÇÏí;36.845834;42.99124;;;1;;1;;1;;;1
68;Dohuk;Phin Resort;ãÕíİ İíä;36.860233;42.952941;1;;1;;1;;;;;1
69;Dohuk;Duhok Mall;Ïåæß ãæá;36.866609;42.957144;;;;;;;;1;1;1
70;Dohuk;Dohuk Governorate;ÓÏÉ Ïåæß;36.875833;43.003611;1;;1;;1;;;;;1
71;Dohuk;Resort  of Kelly Sheeran;ßáí ÔíÑÇäå;36.867905;42.948857;1;;1;;1;;;;;
72;Dohuk;Family Mall;İÇãáí ãæá;36.852067;42.88363;;;;;;;;1;1;1
73;Arbil;Gali Ali Beg Waterfall;ÔáÇá ßáí Úáí Èß;36.631242;44.446435;1;;1;;1;;;;;1
74;Arbil;Waterfall Bekhal;ÔáÇáÇÊ ÈíÎÇá;36.617353;44.497719;1;;1;;1;;;;;1
75;Arbil;Shaklawa Resort;ãÕíİ ÔŞáÇæÉ;36.409844;44.320179;1;;1;;1;;;1;;1
76;Arbil;Chandelar Cave;ßåİ ÔÇäíÏÇÑ;36.831651;44.221044;1;1;1;;1;;;;;1
77;Arbil;Resort Haj Omran;ãÕíİ ÍÇÌ ÚãÑÇä;36.673205;45.048166;1;;1;;1;;;;;1
78;Arbil;Museum of Syrialc Heritage;ãÊÍİ ÇáÊÑÇË ÇáÓÑ?Çäí;36.234235;43.988721;;1;;;;;;;;
79;Arbil;Ganarok Resort;ãÕíİ ÌäÇÑæß;36.190811;44.022689;1;;1;;1;;;;;1
80;Arbil;Aqua Park;ÇßæÇ ÇÑß;36.180589;43.999643;;;1;;1;;1;1;1;1
81;Arbil;Shandar Park;ãäÊÒå ÔÇäÇÏÇÑ;36.181238;44.001102;;;1;;1;;1;1;1;1
82;Arbil;Ronaki Park;ãÊäÒå ÑæäÇßí;36.168953;44.019242;;;1;;1;;1;1;1;1
83;Arbil;Sami Abdel Rahman Park;ãÊäÒå ÓÇãí ÚÈÏ ÇáÑÍãä;36.191356;43.975991;;;1;;1;;1;1;1;1
84;Arbil;Shander Park;ãÊäÒå ÔÇäÏÑ;36.181188;44.001403;;;1;;1;;1;1;1;1
85;Arbil;Lighthouse Park;ãÊäÒå ãäÇÑÉ;36.18576;44.000408;;;1;;1;;1;1;1;1
